SIGN UP HERE TO RECEIVE $200 OFF SHIPPING COUPONS ON KAKOBUY,,,,,https://www.tiktok.com/@balencilover6?is_from_webapp=1&sender_device=pc,CellImage,CellImage
CTRL-F TO SEARCH / CTRL-D TO BOOKMARK,,,,,,,
Item Name,Photos,LINK,CW,Price (USD),Sale,Profit,QC
Burberry Jacket,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620409974&affcode=basztal,(2+ colorways),63,"You can easily sell it for $230-250, it will take you a few hours",around 160-190$,
Polo Ralph Lauren jacket,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620386192&affcode=basztal,(4+ colorways),30,this is a promotionalLINKso it won't be forever,around 150$ profitt RECOMENDD,
Acteryx Windbreaker,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7634332138&affcode=basztal,(10+ colorways),37,buy for 40$ with shipping and sale for 150-200$,"easy profit , jacket perfect for rainy dayss",
Mertra black windbreaker,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617445821&affcode=basztal,(6+ colorways),73,easy profit from 70$ to 200/250$ for each sales,little ppl has mertra windbreraker on vinted,
Mertra light blue windbreaker,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617445821&affcode=basztal,(6+ colorways),53,,,
Mertra Gray Set,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620327416&affcode=basztal,(1+ colorways),2x 32$,buy for 60$ set and sell for 150/200$,BEST SET RIGHT NOW TO RESSEL,
Mertra Dark/Black Set,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620366306&affcode=basztal,(1+ colorways),2x 32$,,,
Acne Studios Longsleeve,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617445847&affcode=basztal,(3+ colorways),19,just buy and list on vinted ,BUY FOR 25$ with shipping and sell this for 100$-120$,
Corteiz Longsleeve,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620360418&affcode=basztal,(2+ colorways),16,unique,"Cool finds , buy for 25$ with ship , sale for 50-60$",
Corteiz Longsleeve,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620360418&affcode=basztal,(2+ colorways),16,,,
Acne Studios Hoodie,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620404046&affcode=basztal,(1+ colorways),35,max 1-2 hours and hoodie will be sold for 90-100$,recomend size s/m max L = buy for 45$ with ship sale for 120/130$,
Ami sweater,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617431973&affcode=basztal,(14+ colorways),20,buy for 20-30$ = sale for 100$ each,recomenddd,
Ami sweater-neck,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617431973&affcode=basztal,(14+ colorways),22,buy for 20-30$ = sale for 100$ each,,
Gym shark 3.0 Hoodie,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620340838&affcode=basztal,(2+ colorways),13,buy for 10$ sale for 30$/50$,gym niche is so underrated,
Gym shark Critical Tank,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620340838&affcode=basztal,(4+ colorways),5,,,
Gym shark tank,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620340838&affcode=basztal,(3+ colorways),9,,,
Gym shark tank,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620340838&affcode=basztal,(4+ colorways),11,,,
Gym shark sleeve,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620340838&affcode=basztal,(3+ colorways),9,,,
Gym shark Sweatpants,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620340838&affcode=basztal,(1+ colorways),14,,,
Gym shark sleeve,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620340838&affcode=basztal,(5+ colorways),11,,,
JBL Flip 6,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617420091&affcode=basztal,(3+ colorways),17,sell this for 50-70$ / other models for more than 100$,30-40$ each / other models 70/80$ ,
JBL boombox3 speaker,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620324842&affcode=basztal,(4+ colorways),49,,,
JBL Pulse 5 Speaker,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620342836&affcode=basztal,(2+ colorways),27,,,
JBL Pulse 6 Speaker,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617364835&affcode=basztal,(2+ colorways),34,,,
Dior sauvage,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620408004&affcode=basztal,(3+ colorways),14,sell this for 65$-70$,45$ profit,
Creed Perfume,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620408004&affcode=basztal,(3+ colorways),14,,,
YSL Perfume,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620408004&affcode=basztal,(3+ colorways),16,,,
YSL Perfume,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620408004&affcode=basztal,(3+ colorways),15,,,
Versace Perfume,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620408004&affcode=basztal,(1+ colorways),15,,,
Victory Perfume,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620408004&affcode=basztal,(1+ colorways),16,,,
Bvlgari Perfume,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620408004&affcode=basztal,(3+ colorways),15,,,
Chanel Perfume,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620408004&affcode=basztal,(2+ colorways),29,,,
4x Pack Jean Paul Gaultier Perfume (40ml each),CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620408004&affcode=basztal,(1+ colorways),23,,,
3x Pack Jean Paul Gaultier Perfume (40ml each),CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620408004&affcode=basztal,(1+ colorways),23,,,
Jean Paul Gaultier Le Male Le Parfum,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620368314&affcode=basztal,(30+ colorways),19,,,
Air Pods Max ,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617364837&affcode=basztal,(7+ colorways),129,just imagine buy for 150$ and sale for 400$ easy profit,CRAZY PROFIT,
Dyson Supersonic Hair Dryer,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617372549&affcode=basztal,(1+ colorways),88,you can easily sell this for 250$-350$ each,around 200$ profit,
The North Face beannies,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617402277&affcode=basztal,(4+ colorways),6,buy 10 beanies for 60$ sell for 20$ each,when you buy 10 tou can make profit around 150$ ,
Ralph Lauren beannies,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617427961&affcode=basztal,(4+ colorways),6,,,
Moncler beannies,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617402277&affcode=basztal,(4+ colorways),5,,,
Canada Goose Beanie,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617402277&affcode=basztal,(4+ colorways),5,,,
Goyard small bag,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617277395&affcode=basztal,(11+ colorways),8,buy for 8/15/40$ sell this for 6/7 x more,"no one has this on vinted , you can sell this for 200$ also 300$ one of the best noche recomendd as fuck",
Goyard small bag,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617277395&affcode=basztal,(11+ colorways),8,,,
Goyard small bag,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617277395&affcode=basztal,(11+ colorways),8,,,
Goyard Blue Senat Pocket ,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617426049&affcode=basztal,(10+ colorways),13,,,
Goyard Dark Gray Senat Pocket ,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617426049&affcode=basztal,(10+ colorways),13,,,
Goyard Coffe Senat Pocket ,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617426049&affcode=basztal,(10+ colorways),13,,,
Goyard White Hand-Bag,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617418145&affcode=basztal,(14+ colorways),23,,,
Goyard Black Hand-Bag,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617418145&affcode=basztal,(14+ colorways),23,,,
Goyard Green Hand-Bag,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617418145&affcode=basztal,(14+ colorways),23,,,
Goyard Bag,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620225562&affcode=basztal,(5+ colorways),15,,,
Goyard White Handbag,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620417868&affcode=basztal,(19+ colorways),19,,,
Goyard Red Handbag,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620417868&affcode=basztal,(19+ colorways),19,,,
Goyard Black Handbag,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620417868&affcode=basztal,(19+ colorways),19,,,
Goyard Backpack,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617445855&affcode=basztal,(7+ colorways),14,,,
Goyard Bag,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620378288&affcode=basztal,(8+ colorways),42,,,
Burberry Belt,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620337010&affcode=basztal,(2+ colorways),10,buy for 10$ sale for 35/40$,PROFIT AROUND 30$,
Burberry Belt,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620337010&affcode=basztal,(3+ colorways),10,,,
Balenciaga Fur Slides,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617449865&affcode=basztal,(6+ colorways),17,buy for 27$ with ship sale for 80$,profit 50$,
Nike Air Zoom Mercurial Superfly IX Elite FG/AG,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7617364839&affcode=basztal,(1+ colorways),56,buy with shipping for 60$ and sell for 150/200$,"unratted niche, if you want more color check section sport accesories in main spreadhseet",
Jordan 1 low x travis scoot,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620388150&affcode=basztal,(40+ colorways),37,BUY FOR 40$ = SALE FOR 120$ ,realy easy profit ,
Numeris ,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620368318&affcode=basztal,(9+ colorways),55,you can easily sell this for 250$-350$ each,around 200$ profit,
budget maison margiela gats,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620372288&affcode=basztal,(1+ colorways),23,BUY AND SALE FOR 150$ ,around 100$ profit for each shoes,
Nike P-6000,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620342842&affcode=basztal,(15+ colorways),27,you can sell it for 110-140$,around 60-70$,
Nike TL R4 Shox,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620366316&affcode=basztal,(8+ colorways),28,sell this for 100$-120$,around 60-70$,
Nike TL Shox,CellImage,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7620366316&affcode=basztal,(6+ colorways),30,you can sell it for 100$-120$,around 60-70$,